time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate
336,838,138,282624,-0.014062490341893863,0.9698146,0.237158203125,1370,-0.04138649255037308,0.2,0.056014545,0.009949322580359877,-0.6423408087342978,0.0003
339,838,139,284672,-0.011438119187369011,0.7129636,0.20830078125,1380,-0.02644793502986431,0.2,0.03863681,0.012064212597033474,-0.5002417045645415,0.0003
341,839,140,286720,-0.06575198343489319,0.63496524,0.4353515625,1390,-0.09429013729095459,0.2,0.10068466,0.0082846920719021,-0.6532727347686886,0.0003
344,839,141,288768,-0.012581152404891327,0.9452253,0.178857421875,1400,-0.023606613278388977,0.2,0.037670292,0.012598471241653897,-0.5497683081775904,0.0003
346,839,142,290816,-0.019109069695696236,0.6787958,0.27294921875,1410,-0.06344643235206604,0.2,0.0708895,0.00987142929516267,-0.4409220339730382,0.0003
348,839,143,292864,-0.004002381520695053,0.9621062,0.158056640625,1420,-0.0014793947339057922,0.2,0.020154193,0.011105796125775669,-0.5713234283961356,0.0003
351,839,144,294912,-0.010296980274142697,0.6706591,0.166455078125,1430,-0.0176746416836977,0.2,0.027653256,0.015794203284895048,-0.42864422146230935,0.0003
353,839,145,296960,-0.02366400176542811,0.8428322,0.290625,1440,-0.09451204538345337,0.2,0.12120801,0.006961481388134416,-0.5789890916086733,0.0003
356,839,146,299008,-0.018551527336239815,0.20262212,0.153369140625,1450,-0.012854209169745445,0.2,0.032274004,0.020982300833566114,-0.29622861091047525,0.0003
358,839,147,301056,-0.04573363082308788,0.7031974,0.386962890625,1460,0.002197619527578354,0.2,0.037322704,0.027608048290130683,-0.5361194022931158,0.0003
361,839,148,303104,-0.010616016641142778,0.8621111,0.295947265625,1470,-0.06023411080241203,0.2,0.054768592,0.025677229210850784,-0.7944937825202942,0.0003
363,839,149,305152,-0.011881187569815665,0.96612483,0.2134765625,1480,-0.05445210263133049,0.2,0.02726191,0.015979434926703107,-0.8070196695625782,0.0003
365,839,150,307200,-0.0248354352399474,0.944586,0.26845703125,1490,-0.04677189886569977,0.2,0.061180465,0.020579401557915843,-0.6536307381466031,0.0003
368,839,151,309248,-0.043867867105291225,0.9472395,0.286865234375,1500,-0.06681275367736816,0.2,0.03703784,0.00980649221673957,-0.6358079533092678,0.0003
370,839,152,311296,-0.02223936563532334,0.98344505,0.24052734375,1510,-0.03602585941553116,0.2,0.02622225,0.009507748238684144,-1.002346182614565,0.0003
